ANT1,21.14,1.46,270.00,2450AT18B100E,2450AT18B100E_ANTC3216X140N
C1,-4.43,3.50,270.00,12pF,NORDIC_NRF_3_RESC0201_L
C1-EP-DR,-7.52,-12.58,90.00,10uF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C10,-0.26,4.50,180.00,N.C.,NORDIC_NRF_3_RESC0201_L
C11,-6.26,4.27,270.00,100pF,NORDIC_NRF_3_RESC0201_L
C12,-3.23,3.56,180.00,100nF,NORDIC_NRF_3_RESC0201_L
C13,-2.64,1.74,180.00,N.C.,NORDIC_NRF_3_RESC0201_L
C14,-16.35,-13.76,0.00,4.7uF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C15,-0.13,6.54,90.00,1.0uF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C16,-2.53,-0.97,90.00,47nF,NORDIC_NRF_3_RESC0201_L
C17,-0.63,-7.11,180.00,12pF,NORDIC_NRF_3_RESC0201_L
C18,1.07,-7.14,0.00,12pF,NORDIC_NRF_3_RESC0201_L
C19,-17.51,-12.59,90.00,100nF,NORDIC_NRF_3_RESC0201_L
C2,-1.62,4.57,0.00,12pF,NORDIC_NRF_3_RESC0201_L
C2-EP-DR,-16.41,11.71,90.00,4.7uF/25V,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C20,7.63,1.48,90.00,4.7uF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C21,11.92,-0.02,0.00,4.7uF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C22,3.63,7.36,180.00,N.C.,NORDIC_NRF_3_RESC0201_L
C23,7.46,12.60,90.00,0.1uF,NORDIC_NRF_3_RESC0201_L
C24,6.19,13.47,270.00,10uF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C25,12.32,12.40,90.00,22uF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C27,-20.55,-15.08,270.00,0.1uF,NORDIC_NRF_3_RESC0201_L
C29,-11.79,-12.01,0.00,1uF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C3,3.48,5.66,0.00,1pF,NORDIC_NRF_3_RESC0201_L
C30,12.58,-11.95,0.00,1uF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C31,-0.18,-10.11,180.00,1uF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C32,21.50,9.66,270.00,1uF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C33,14.04,12.41,90.00,22uF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C34,21.44,7.52,0.00,0.1uF,NORDIC_NRF_3_RESC0201_L
C37,-15.46,-12.54,180.00,1uF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C38,-7.56,-8.05,0.00,1uF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C39,-7.66,-9.20,0.00,10uF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C4,3.86,6.46,180.00,1pF,NORDIC_NRF_3_RESC0201_L
C42,-11.42,-9.07,91.10,0.1uF,NORDIC_NRF_3_RESC0201_L
C43,2.55,-6.00,90.00,4.7uF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C5,-1.69,-3.50,180.30,100nF,NORDIC_NRF_3_RESC0201_L
C6,6.01,-4.45,180.00,4.7uF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C7,6.08,1.88,90.00,100nF,NORDIC_NRF_3_RESC0201_L
C8,6.57,3.35,270.00,100nF,NORDIC_NRF_3_RESC0201_L
C9,1.85,4.64,90.00,820pF,NORDIC_NRF_3_RESC0201_L
D2,-13.95,11.60,90.00,MBR0530,ESP32_C6_LIBRARY_5_SOD3716X135N
D3,11.05,2.83,270.00,USBLC6-2SC6Y,ESP32_C6_LIBRARY_3_SOT95P280X145-6N
